,affiliate,date,employer,localization,title,topic,url
139,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Seine Saint-Denis (93),Médecin Offres de soins H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/medecin-offres-de-soins-hf-reference-ARSIF_2019-179
140,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Seine Saint-Denis (93),Adjoint au service des soins psychiatriques sans consentement  chargé des relations H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/adjoint-au-service-des-soins-psychiatriques-sans-consentement--charge-des-relations-hf-reference-ARSIF_2019-186
141,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Seine Saint-Denis (93),Chargé de mission Département Ambulatoire et Etablissements sanitaires H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-de-mission-departement-ambulatoire-et-etablissements-sanitaires-hf-reference-ARSIF_2019-187
142,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargée/Chargé de programmes de santé publique H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/chargeecharge-de-programmes-de-sante-publique-hf-reference-ARSIF_2019-188
143,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Yvelines (78),Chargé des établissements de santé H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-des-etablissements-de-sante-hf-reference-ARSIF_2019-182
144,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Yvelines (78),Technicien sanitaire et de surveillance sanitaire H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/technicien-sanitaire-et-de-surveillance-sanitaire-hf-reference-ARSIF_2019-183
145,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Conseillère-experte/Conseiller-expert médical ou ondotologique ou pharmaceutique H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/conseillere-experteconseiller-expert-medical-ou-ondotologique-ou-pharmaceutique-hf-reference-ARSIF_2019-176
146,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargée/Chargé d'opérations statistiques H/F,Études • Audit • Évaluation • Contrôle interne et prospective,https://www.place-emploi-public.gouv.fr/offre-emploi/chargeecharge-d-operations-statistiques-hf-reference-ARSIF_2019-156
147,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargé(e) de mission Handicap H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/chargee-de-mission-handicap-hf-reference-ARSIF_2019-158
148,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargé(e) de mission Service Comptabilité H/F,Gestion budgétaire et financière,https://www.place-emploi-public.gouv.fr/offre-emploi/chargee-de-mission-service-comptabilite-hf-reference-ARSIF_2019-157
149,Fonction publique,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),MEDECIN VEILLE ET SECURITE SANITAIRE H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/medecin-veille-et-securite-sanitaire-hf-reference-ARSIF_2019-131
150,État,26 Juin. 19,DRH/SDP/BPA/Section B - SAIOM,Mayotte (976),Chargé de la planification - 976ATB0055,Ressources humaines,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-de-la-planification---976atb0055-reference-2019-217217
151,État,26 Juin. 19,Musée Picasso,Paris (75),**AASM Agent·e PC sécurité-sûreté nuit H/F,Culture et patrimoine,https://www.place-emploi-public.gouv.fr/offre-emploi/aasm-agente-pc-securite-surete-nuit-hf-reference-2019-217294
152,État,26 Juin. 19,Université de Nantes,Loire Atlantique (44),Responsable du service de la Scolarité UFR Sciences ,Administration générale,https://www.place-emploi-public.gouv.fr/offre-emploi/responsable-du-service-de-la-scolarite-ufr-sciences--reference-2019-217293
153,État,26 Juin. 19,Université de Lyon 3,Rhône (69),"Responsable du service Hygiène et sécurité, conseiller de prévention",Sécurité,https://www.place-emploi-public.gouv.fr/offre-emploi/responsable-du-service-hygiene-et-securite-conseiller-de-prevention-reference-2019-210925
154,État,26 Juin. 19,Agence de la Biomédecine,Seine Saint-Denis (93),AGENT DE BUREAU (H/F),Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/agent-de-bureau-hf-reference-2019-217291
155,État,26 Juin. 19,Université de Bordeaux,Gironde (33),Gestionnaire financier et administratif H/F,Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-financier-et-administratif-hf-reference-2019-217289
156,Fonction publique,26 Juin. 19,SGAMI Nord,Nord (59),APPRENTI BTS OU DUT BATIMENT - POSTE DESSINATEUR,-,https://www.place-emploi-public.gouv.fr/offre-emploi/apprenti-bts-ou-dut-batiment---poste-dessinateur-reference-2019-205531
157,État,26 Juin. 19,Direction générale du trésor,Paris (75),Adjoint(e) au chef du bureau Relations bilatérales et instruments financiers européens (Europe3),Élaboration et pilotage des politiques publiques,https://www.place-emploi-public.gouv.fr/offre-emploi/adjointe-au-chef-du-bureau-relations-bilaterales-et-instruments-financiers-europeens-europe3-reference-2019-217287
158,Fonction publique,26 Juin. 19,SGAMI Nord,Nord (59),APPRENTI BTS OU DUT IMMOBILIERES OU JURIDIQUES,-,https://www.place-emploi-public.gouv.fr/offre-emploi/apprenti-bts-ou-dut-immobilieres-ou-juridiques-reference-2019-205536
159,Fonction publique,26 Juin. 19,SGAMI Nord,Nord (59),APPRENTI Licence à diplôme d'école ingénieur - Contrôleur qualité et procédures,-,https://www.place-emploi-public.gouv.fr/offre-emploi/apprenti-licence-a-diplome-d-ecole-ingenieur---controleur-qualite-et-procedures-reference-2019-205631
160,État,26 Juin. 19,Agence du service civique,Paris (75),Chef.fe de projet maîtrise d'ouvrage Numérique et Systèmes d'Information et de Communication,Numérique • Systèmes d’information et de communication,https://www.place-emploi-public.gouv.fr/offre-emploi/cheffe-de-projet-maitrise-d-ouvrage-numerique-et-systemes-d-information-et-de-communication-reference-2019-213341
161,État,26 Juin. 19,Direction générale de l'offre de soins,Paris (75),Chargé(e) de mission (F/H) coopérations et recompositions hospitalières,Élaboration et pilotage des politiques publiques,https://www.place-emploi-public.gouv.fr/offre-emploi/chargee-de-mission-fh-cooperations-et-recompositions-hospitalieres-reference-2019-213331
162,État,26 Juin. 19,Délégation aux affaires européennes et internationales,Paris (75),"Chargé/e de mission expert au bureau International ""Santé"" OCDE  -  Amérique latine ",Diplomatie • Relations Internationales,https://www.place-emploi-public.gouv.fr/offre-emploi/chargee-de-mission-expert-au-bureau-international-sante-ocde-----amerique-latine--reference-2019-213318
163,État,26 Juin. 19,Météo France,Val de Marne (94),Gestionnaire comptable des recettes (Agence comptable principale de Météo France),Finances publiques,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-comptable-des-recettes-agence-comptable-principale-de-meteo-france-reference-2019-217269
164,État,26 Juin. 19,Ecole des hautes études en sciences sociales,Bouches du Rhône (13),Agent d'accueil polyvalent (H/F) ,Relation et service à l'usager,https://www.place-emploi-public.gouv.fr/offre-emploi/agent-d-accueil-polyvalent-hf--reference-2019-212069
165,État,26 Juin. 19,Inserm Délégation Régionale Paris 5,Paris (75),Gestionnaire administratif.ve,Administration générale,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-administratifve-reference-2019-180950
166,Territoriale,26 Juin. 19,Mairie d'Aubervilliers,Paris (75),2 TECHNICIENS PATRIMOINE (H/F),Immobilier • Bâtiment • Infrastructures,https://www.place-emploi-public.gouv.fr/offre-emploi/2-techniciens-patrimoine-hf-reference-2019-180830
167,État,26 Juin. 19,Ministère de l'éducation nationale/Ministère de l'enseignement supérieur et de la recherche,Rhône (69),Emploi d'agent comptable de l'université Jean Moulin Lyon 3 (groupe 2),Gestion budgétaire et financière,https://www.place-emploi-public.gouv.fr/offre-emploi/emploi-d-agent-comptable-de-l-universite-jean-moulin-lyon-3-groupe-2-reference-2019-217261
168,Hospitalière,26 Juin. 19,Institut le Val Mandé,Paris (75),1 INFIRMIER (H/F) ,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/1-infirmier-hf--reference-2019-199368
169,État,26 Juin. 19,Agence de mutualisation des universités et établissements,Hérault (34),Consultant.e fonctionnel.le SI Recherche H/F,Numérique • Systèmes d’information et de communication,https://www.place-emploi-public.gouv.fr/offre-emploi/consultante-fonctionnelle-si-recherche-hf-reference-2018-148607
170,État,26 Juin. 19,Université Paris 11 Sud,Hauts-de-Seine (92),gestionnaire de scolarité,Administration générale,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-de-scolarite-reference-2019-217252
171,État,26 Juin. 19,Université d'Artois,Pas de Calais (62),Responsable du bureau scolarité (ASI ou IGE),Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/responsable-du-bureau-scolarite-asi-ou-ige-reference-2019-212184
172,Territoriale,26 Juin. 19,Mairie d'Aubervilliers,Seine Saint-Denis (93),CHARGÉ.E DE MISSION EN SANTÉ,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-de-mission-en-sant-reference-2019-217250
173,Territoriale,26 Juin. 19,Mairie d'Aubervilliers,Seine Saint-Denis (93),RESPONSABLE DE LA FABRIQUE DE SANTE,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/responsable-de-la-fabrique-de-sante-reference-2019-217251
174,État,26 Juin. 19,Université Paris 13,Seine Saint-Denis (93),Agent polyvalent,Technique • Logistique • Maintenance,https://www.place-emploi-public.gouv.fr/offre-emploi/agent-polyvalent-reference-2019-217192
175,État,26 Juin. 19,Université Paris 13,Seine Saint-Denis (93),Gestionnaire administrative et pédagogique ,Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-administrative-et-pedagogique--reference-2019-217198
176,État,26 Juin. 19,Université Paris 13,Seine Saint-Denis (93),Gestionnaire pédagogique,Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-pedagogique-reference-2019-217201
177,État,26 Juin. 19,Université Paris 13,Seine Saint-Denis (93),Gestionnaire pédagogique médecine,Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-pedagogique-medecine-reference-2019-217205
178,État,26 Juin. 19,Université Paris 13,Seine Saint-Denis (93),Gestionnaire administratif-ive et pédagogique,Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-administratif-ive-et-pedagogique-reference-2019-217215
179,État,26 Juin. 19,Université Paris 13,Seine Saint-Denis (93),Responsable Administratif-ive et Financier-e de laboratoire ,Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/responsable-administratif-ive-et-financier-e-de-laboratoire--reference-2019-217223
180,État,26 Juin. 19,Université Paris 13,Seine Saint-Denis (93),Gestionnaire financier-e et comptable,Gestion budgétaire et financière,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-financier-e-et-comptable-reference-2019-217233
181,État,26 Juin. 19,Ministère des Armées,Gironde (33),ADJOINT AU CHEF DE LA SECTION VERIFICATION DES DROITS CHOMAGE- CTIC (Bordeaux) H/F,Gestion budgétaire et financière,https://www.place-emploi-public.gouv.fr/offre-emploi/adjoint-au-chef-de-la-section-verification-des-droits-chomage--ctic-bordeaux-hf-reference-2019-216591
182,État,26 Juin. 19,Ecole normale supérieure,Paris (75),Chargé de gestion administrative et d'aide au pilotage opérationnel (h/f),Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-de-gestion-administrative-et-d-aide-au-pilotage-operationnel-hf-reference-2019-204329
183,État,26 Juin. 19,Ecole normale supérieure,Paris (75),Gestionnaire formation et recrutement,Ressources humaines,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-formation-et-recrutement-reference-2019-207906
184,État,26 Juin. 19,Ecole normale supérieure,Paris (75),Ingénieur Systèmes (H/F),Numérique • Systèmes d’information et de communication,https://www.place-emploi-public.gouv.fr/offre-emploi/ingenieur-systemes-hf-reference-2019-206407
185,État,26 Juin. 19,Ecole normale supérieure de Cachan,Val de Marne (94),Un·e assistant·e en gestion administrative et aide au pilotage,Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/une-assistante-en-gestion-administrative-et-aide-au-pilotage-reference-2018-140498
186,État,26 Juin. 19,Université Paris 13,Seine Saint-Denis (93),gestionnaire des ressources humaines,Ressources humaines,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-des-ressources-humaines-reference-2019-217249
187,État,26 Juin. 19,Université Reims-Champagne-Ardenne,Aube (10),Médecin H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/medecin-hf-reference-2018-142321
188,État,26 Juin. 19,Ecole normale supérieure,Paris (75),Directeur(trice) adjoint du Patrimoine Immobilier,Immobilier • Bâtiment • Infrastructures,https://www.place-emploi-public.gouv.fr/offre-emploi/directeurtrice-adjoint-du-patrimoine-immobilier-reference-2019-211631
189,Fonction publique,26 Juin. 19,Délégation à  l'information et à  la communication,Paris (75),Contrat d'apprentissage : community manager assistant (F/H),-,https://www.place-emploi-public.gouv.fr/offre-emploi/contrat-d-apprentissage--community-manager-assistant-fh-reference-2019-210393
190,Fonction publique,26 Juin. 19,Délégation à  l'information et à  la communication,Paris (75),"CONTRAT D'APPRENTISSAGE : chef de projet web, webmaster apprenti (F/H)",-,https://www.place-emploi-public.gouv.fr/offre-emploi/contrat-d-apprentissage--chef-de-projet-web-webmaster-apprenti-fh-reference-2019-210389
191,Fonction publique,26 Juin. 19,Délégation à  l'information et à  la communication,Paris (75),Apprenti graphiste,-,https://www.place-emploi-public.gouv.fr/offre-emploi/apprenti-graphiste-reference-2019-210385
192,Fonction publique,26 Juin. 19,Délégation à  l'information et à  la communication,Paris (75),Chargé de communication spécialisé veille / analyse média (contrat d'apprentissage uniquement) ,-,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-de-communication-specialise-veille--analyse-media-contrat-d-apprentissage-uniquement--reference-2019-210375
193,État,26 Juin. 19,Direction des Ressources Humaines,Paris (75),"Chargé-(e) de mission pilotage budgétaire, bilans et prospectives ",Gestion budgétaire et financière,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-e-de-mission-pilotage-budgetaire-bilans-et-prospectives--reference-2019-194564
194,État,26 Juin. 19,Direction générale de la cohésion sociale,Loire Atlantique (44),Assistant-e de gestion,Gestion budgétaire et financière,https://www.place-emploi-public.gouv.fr/offre-emploi/assistant-e-de-gestion-reference-2019-194053
195,État,26 Juin. 19,Ministère des Armées,Val de Marne (94),ADJOINT AU CHEF DEPART QUALITE PERFORMANCE MODERNISATION,Ressources humaines,https://www.place-emploi-public.gouv.fr/offre-emploi/adjoint-au-chef-depart-qualite-performance-modernisation-reference-2019-178498
196,État,26 Juin. 19,Ecole normale supérieure de Cachan,Val de Marne (94),Ingénieur·e Electronicien·e,Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/ingenieure-electroniciene-reference-2018-146631
197,État,26 Juin. 19,Réseau des acheteurs hospitaliers,Paris (75),CHARGE(E) DE L'ADMINISTRATION DES VENTES (H/F),Gestion budgétaire et financière,https://www.place-emploi-public.gouv.fr/offre-emploi/chargee-de-l-administration-des-ventes-hf-reference-2019-216564
198,État,26 Juin. 19,L'Assemblée permanente des chambres de métiers et de l'artisanat,Paris (75),Juriste fiscaliste H/F,Finances publiques,https://www.place-emploi-public.gouv.fr/offre-emploi/juriste-fiscaliste-hf-reference-2019-216064
199,État,26 Juin. 19,Université de Toulouse 1,Haute Garonne (31),Contrôleur de gestion - Business Analyst (F/H) - DROP,-,https://www.place-emploi-public.gouv.fr/offre-emploi/controleur-de-gestion---business-analyst-fh---drop-reference-2019-217222
200,État,26 Juin. 19,Communautés d'Universités et d'Etablissements Université de Toulouse,Haute Garonne (31),Gestionnaire Administratif et Financier au sein du Service Interuniversitaire de Médecine Préventive et ,Gestion budgétaire et financière,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-administratif-et-financier-au-sein-du-service-interuniversitaire-de-medecine-preventive-et--reference-2019-217243
201,État,26 Juin. 19,Musée du Louvre,Paris (75),ATTADM-Juriste en droit public spécialité en marchés publics-poste susceptible d'être vacant H/F,Culture et patrimoine,https://www.place-emploi-public.gouv.fr/offre-emploi/attadm-juriste-en-droit-public-specialite-en-marches-publics-poste-susceptible-d-etre-vacant-hf-reference-2019-217235
202,État,26 Juin. 19,Communautés d'Universités et d'Etablissements Université de Toulouse,Haute Garonne (31),Assistant(e) administrative coordination du diplôme doctorat au sein de l'Université Fédérale de Toulous,Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/assistante-administrative-coordination-du-diplome-doctorat-au-sein-de-l-universite-federale-de-toulous-reference-2019-217240
203,État,26 Juin. 19,Etablissement public du palais de la porte dorée,Paris (75),**SEADM Gestionnaire comptable H/F – CDD d'un an H/F,Finances publiques,https://www.place-emploi-public.gouv.fr/offre-emploi/seadm-gestionnaire-comptable-hf--cdd-d-un-an-hf-reference-2019-217238
204,État,26 Juin. 19,Université de Bordeaux,Gironde (33),Responsable du service Relations internationales/ Recherche H/F,Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/responsable-du-service-relations-internationales-recherche-hf-reference-2019-217236
205,État,26 Juin. 19,Direction de la sécurité sociale,Paris (75),Vacataire logistique,Technique • Logistique • Maintenance,https://www.place-emploi-public.gouv.fr/offre-emploi/vacataire-logistique-reference-2019-217237
206,État,26 Juin. 19,Université de Nantes,Loire Atlantique (44),Gestionnaire financier(e)  MSH,Gestion budgétaire et financière,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-financiere--msh-reference-2019-216114
207,Territoriale,26 Juin. 19,Paris Musées,Paris (75),Chargé(e) d'informatisation et assistant de l'équipe de conservation pour le chantier de récolement déce,Culture et patrimoine,https://www.place-emploi-public.gouv.fr/offre-emploi/chargee-d-informatisation-et-assistant-de-l-equipe-de-conservation-pour-le-chantier-de-recolement-dece-reference-2019-183697
208,État,26 Juin. 19,UNIVERSITE PARIS DIDEROT PARIS VII,Paris (75),Ingénieur.e biostatisticien.ne,Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/ingenieure-biostatisticienne-reference-2019-192483
209,État,26 Juin. 19,Université de Nantes,Loire Atlantique (44),Attaché-e de presse,Communication et valorisation des organisations,https://www.place-emploi-public.gouv.fr/offre-emploi/attache-e-de-presse-reference-2019-217231
